x	y	z	metro	Pitch	Roll
0.04	0.08	0.86	0.864638653	2.74	5.73
0.04	0.1	0.86	0.866717947	2.67	7.15
0.04	0.1	0.86	0.866717947	2.67	7.15
0.02	0.1	0.86	0.866025404	1.34	7.33
-0.04	0.04	0.88	0.881816307	-2.75	2.75
-0.03	0.04	0.87	0.871435597	-2.11	2.85
-0.03	0.05	0.86	0.861974478	-2.13	3.64
-0.04	0.04	0.88	0.881816307	-2.75	2.75
-0.05	0.04	0.87	0.87235314	-3.51	2.78
-0.05	0.03	0.87	0.871951834	-3.56	2.08
-0.05	0.03	0.88	0.881929702	-3.48	2.04
-0.05	0.03	0.87	0.871951834	-3.56	2.08
-0.05	0.03	0.87	0.871951834	-3.56	2.08
-0.06	0.01	0.88	0.882099768	-4.28	0.67
-0.07	0.01	0.88	0.882836338	-4.99	0.66
-0.06	0.01	0.87	0.872123844	-4.37	0.69
-0.07	0.01	0.87	0.872868833	-5.1	0.68
-0.06	0.01	0.88	0.882099768	-4.28	0.67
-0.07	0.01	0.88	0.882836338	-4.99	0.66
-0.06	0.02	0.88	0.8822698	-4.23	1.35
-0.06	0.01	0.87	0.872123844	-4.37	0.69
-0.07	0.02	0.88	0.883006229	-4.93	1.33
-0.06	0.01	0.87	0.872123844	-4.37	0.69
-0.07	0.01	0.87	0.872868833	-5.1	0.68
-0.07	0.01	0.88	0.882836338	-4.99	0.66
-0.09	0.01	0.87	0.874699949	-6.55	0.66
-0.08	0.03	0.87	0.874185335	-5.68	2.01
-0.08	0.04	0.86	0.864638653	-5.73	2.74
-0.07	0.04	0.88	0.883685464	-4.81	2.66
-0.04	0.05	0.82	0.822496201	-3.1	3.92
-0.07	0.06	0.86	0.864927743	-4.9	4.15
-0.06	0.05	0.87	0.873498712	-4.16	3.43
-0.06	0.06	0.87	0.874128137	-4.11	4.11
-0.08	0.06	0.87	0.875728268	-5.48	4.02
-0.08	0.05	0.96	0.964624279	-4.63	2.81
-0.16	-0.18	0.92	0.950999474	-8.72	-9.97
-0.27	-0.65	0.92	1.158360911	-10.35	-30.36
-0.57	-0.68	0.65	1.099909087	-27.26	-34.84
-0.72	-0.77	0.45	1.14621115	-36.59	-39.84
-0.7	-0.71	0.47	1.102270384	-37.01	-37.68
-0.69	-0.71	0.48	1.100272693	-36.35	-37.69
-0.7	-0.71	0.47	1.102270384	-37.01	-37.68
-0.7	-0.7	0.47	1.09585583	-37.3	-37.3
-0.7	-0.71	0.48	1.106571281	-36.74	-37.4
-0.7	-0.71	0.48	1.106571281	-36.74	-37.4
-0.7	-0.7	0.48	1.100181803	-37.02	-37.02
-0.7	-0.7	0.48	1.100181803	-37.02	-37.02
-0.7	-0.7	0.48	1.100181803	-37.02	-37.02
-0.69	-0.7	0.48	1.093846424	-36.64	-37.31
-0.7	-0.72	0.48	1.113013926	-36.45	-37.78
-0.69	-0.7	0.49	1.098271369	-36.36	-37.03
-0.69	-0.7	0.48	1.093846424	-36.64	-37.31
-0.69	-0.7	0.48	1.093846424	-36.64	-37.31
-0.69	-0.7	0.48	1.093846424	-36.64	-37.31
-0.69	-0.7	0.49	1.098271369	-36.36	-37.03
-0.69	-0.7	0.49	1.098271369	-36.36	-37.03
-0.61	-0.65	0.6	1.07452315	-30.95	-34.26
-0.57	-0.67	0.61	1.070467188	-28.56	-35.83
-0.57	-0.69	0.64	1.100272693	-27.32	-35.56
-0.51	-0.76	0.64	1.116825859	-23.55	-39.9
